epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,11003.8,2.0355,1.14017,0.90809,0.66074,0.44728,0.50833,0.21235,1.98707,1.07851,0.89167,0.002674,0.002674,0.002674
113,11101.1,2.02619,1.133,0.90789,0.65303,0.45093,0.50851,0.21267,1.9843,1.07671,0.89106,0.002608,0.002608,0.002608
114,11200.4,2.02999,1.13406,0.90317,0.64614,0.45322,0.5091,0.21278,1.98509,1.07493,0.89106,0.002542,0.002542,0.002542
115,11299.3,2.02059,1.13388,0.90676,0.65061,0.45193,0.50952,0.21284,1.98399,1.07422,0.89079,0.002476,0.002476,0.002476
116,11399.4,2.01602,1.1217,0.90513,0.65132,0.45105,0.51026,0.21317,1.9818,1.07215,0.8904,0.00241,0.00241,0.00241
117,11498.1,2.01526,1.12587,0.90281,0.64959,0.45164,0.51012,0.21275,1.98235,1.07286,0.89065,0.002344,0.002344,0.002344
118,11594.2,2.03496,1.12346,0.90164,0.64863,0.45372,0.50988,0.21346,1.98112,1.07312,0.89071,0.002278,0.002278,0.002278
119,11692.9,2.01929,1.12056,0.90365,0.64022,0.45837,0.51104,0.21356,1.98177,1.0731,0.89093,0.002212,0.002212,0.002212
120,11791.8,2.03154,1.13159,0.90541,0.63953,0.45744,0.50949,0.21297,1.98092,1.07355,0.89066,0.002146,0.002146,0.002146
121,11890.3,2.02813,1.12841,0.90598,0.64154,0.45867,0.5093,0.21292,1.98116,1.07242,0.89057,0.00208,0.00208,0.00208
122,11987.9,1.99203,1.10521,0.90439,0.63721,0.46059,0.50953,0.21319,1.98054,1.07139,0.89019,0.002014,0.002014,0.002014
123,12084,2.02467,1.13023,0.90338,0.64278,0.45809,0.50929,0.21324,1.97856,1.07079,0.88998,0.001948,0.001948,0.001948
124,12180.7,1.99667,1.11803,0.90164,0.64274,0.4573,0.50954,0.21306,1.97857,1.07012,0.88983,0.001882,0.001882,0.001882
125,12276.6,2.01028,1.11837,0.90176,0.64413,0.4578,0.50962,0.21325,1.97925,1.0695,0.89007,0.001816,0.001816,0.001816
126,12373.2,2.00645,1.11713,0.90363,0.64354,0.45738,0.50997,0.21359,1.97916,1.06795,0.88997,0.00175,0.00175,0.00175
127,12470.3,1.99838,1.11129,0.90018,0.6497,0.45472,0.51035,0.21392,1.97709,1.06704,0.88953,0.001684,0.001684,0.001684
128,12567.5,1.99221,1.10352,0.90218,0.65058,0.45408,0.51111,0.21429,1.97755,1.06618,0.88962,0.001618,0.001618,0.001618
129,12663.4,1.99684,1.11159,0.89855,0.64873,0.45608,0.5116,0.2143,1.977,1.06616,0.88967,0.001552,0.001552,0.001552
130,12760.9,1.99975,1.10903,0.902,0.65137,0.45393,0.51045,0.21461,1.97658,1.06586,0.88982,0.001486,0.001486,0.001486
131,12857.5,1.99964,1.11121,0.8984,0.64944,0.45568,0.51132,0.21413,1.97766,1.06639,0.88986,0.00142,0.00142,0.00142
132,12956,1.98566,1.09338,0.90118,0.64929,0.45529,0.51107,0.21409,1.97809,1.06742,0.88994,0.001354,0.001354,0.001354
133,13052.9,1.97616,1.09588,0.90074,0.64878,0.45579,0.51146,0.2141,1.97703,1.06826,0.88986,0.001288,0.001288,0.001288
134,13151.2,1.99191,1.09609,0.89684,0.64698,0.45578,0.51057,0.21392,1.97846,1.06873,0.89006,0.001222,0.001222,0.001222
135,13247.9,1.9824,1.09587,0.90134,0.64572,0.45708,0.51033,0.21402,1.97827,1.06784,0.8902,0.001156,0.001156,0.001156
136,13345.5,1.97853,1.09442,0.90025,0.64422,0.45973,0.51124,0.21422,1.97762,1.06663,0.89007,0.00109,0.00109,0.00109
137,13444.5,1.9861,1.10097,0.89968,0.64507,0.46071,0.511,0.21437,1.97741,1.0667,0.89026,0.001024,0.001024,0.001024
138,13542.9,1.97794,1.08852,0.89855,0.64572,0.46066,0.51142,0.21463,1.97691,1.06682,0.89004,0.000958,0.000958,0.000958
139,13640.4,1.97924,1.09135,0.89795,0.64487,0.46052,0.51117,0.21458,1.9764,1.06735,0.88993,0.000892,0.000892,0.000892
140,13737.3,1.98333,1.09069,0.89468,0.64688,0.45816,0.51085,0.21473,1.97663,1.06699,0.88983,0.000826,0.000826,0.000826
141,13832.4,1.94155,1.08574,0.90326,0.64401,0.46103,0.51154,0.21467,1.97767,1.06719,0.88995,0.00076,0.00076,0.00076
142,13925.6,1.92401,1.06495,0.90425,0.64691,0.46045,0.51218,0.2147,1.97796,1.06668,0.8899,0.000694,0.000694,0.000694
143,14017.8,1.90313,1.04969,0.90193,0.64655,0.46038,0.51209,0.21452,1.97878,1.06772,0.89004,0.000628,0.000628,0.000628
144,14110.8,1.90869,1.04363,0.89853,0.6457,0.46095,0.51208,0.21445,1.97993,1.06784,0.89005,0.000562,0.000562,0.000562
145,14205.2,1.90844,1.04626,0.89807,0.64492,0.4603,0.51184,0.21427,1.97982,1.06795,0.89014,0.000496,0.000496,0.000496
146,14299.2,1.90846,1.05051,0.89906,0.64697,0.45952,0.51243,0.21422,1.98019,1.06819,0.89011,0.00043,0.00043,0.00043
147,14393.1,1.89831,1.03992,0.89828,0.6467,0.45937,0.51211,0.21408,1.98045,1.06874,0.89014,0.000364,0.000364,0.000364
148,14487.3,1.8958,1.04498,0.89675,0.64667,0.45792,0.51125,0.21379,1.98102,1.06878,0.89024,0.000298,0.000298,0.000298
149,14579.4,1.88717,1.03513,0.89572,0.64693,0.45787,0.51165,0.21396,1.98045,1.06882,0.89014,0.000232,0.000232,0.000232
150,14671.5,1.88345,1.03606,0.89999,0.64781,0.45766,0.51147,0.21385,1.98116,1.06944,0.89012,0.000166,0.000166,0.000166
